page_id,release,new_version,story,parent_page
1313946,OKR_20240825_ATM,2403.5.0,SKOKR-6431,1323003
1324353,OKR_20240908_ATM,2403.7.0-release,SKOKR-6433,1323003
1321046,OKR_20240922_ATM,2403.8.0-release,SKOKR-6440,1321042
1336833,OKR_20240922_IR,2403.9.0-release,SKOKR-6445,1336098
1316571,OKR_20241027_IR_51,2404.1.0-release,SKOKR-6384,1295831
1354220,OKR_20241006_ATM,2403.13.0-release,SKOKR-6441,1354208
1354763,OKR_20240916_ATM,2403.11.0-release,SKOKR-9999,1354749
1363489,OKR_20241027_ATM,2404.2.0-release,SKOKR-6717,1363479
1376098,OKR_20241124_ATM,2404.3.0-release,SKOKR-6737,1375849
1394002,OKR_20241208_ATM,2404.4.0-release,SKOKR-6764,1393997
